Mean,Mean,Mean,Mean
,49.1637,33.4761,44.1315
,50.2006,33.7944,43.6839
,49.8119,33.7359,44.0762
,50.3201,34.3709,44.032
,49.6218,34.4758,43.4278
,49.5477,34.0647,43.2842
,49.5055,33.3261,43.2819
,49.8498,34.1876,43.3992
,49.6319,33.9501,43.6593
,49.2721,34.1898,43.4455
,49.3227,34.1726,43.7931
,49.2084,33.9397,43.9507
,49.6757,34.4647,43.6265
,49.5911,34.4511,43.3582
,49.5466,34.0945,43.5858
,49.324,33.6049,43.7118
,49.8563,34.5968,43.0067
,49.5293,33.5616,43.443
,49.2675,33.3323,43.7734
,49.9016,33.9297,43.3913
,49.0227,33.7295,43.6307
,49.6934,34.0731,43.6638
,49.3678,33.643,43.5772
,49.5316,33.8864,43.6914
,48.7954,33.5027,43.7466
,49.3342,33.7279,43.5663
,48.727,33.5135,43.6187
,49.3007,33.7468,43.2957
,49.0186,33.6947,43.353
,49.3458,33.7748,42.9456
,49.323,33.7809,43.724
,49.2735,33.8141,42.9618
,49.259,33.8346,44.1024
,48.7434,33.468,43.74
,48.5156,33.9184,43.3329
,49.3672,33.5206,43.145
,48.7972,33.6011,43.4288
,49.1441,33.5304,43.1714
,48.3643,33.1622,43.0041
,49.0135,34.0187,42.707
,48.553,33.955,43.6092
,49.0464,33.7978,42.5748
,48.8014,33.7143,42.8808
,48.758,34.0341,43.0143
,48.6118,33.345,43.0044
,48.4835,33.9939,42.9793
,48.567,33.3155,43.3825
,48.6564,33.6946,43.7026
,48.9856,33.9366,43.4015
,49.1373,33.3352,43.0526
,48.399,33.3539,43.2275
,48.4376,33.4351,42.8488
,48.9989,33.4546,43.4443
,48.4654,33.7054,43.121
,48.5997,33.7677,43.6146
,48.3789,33.8859,42.948
,48.6485,33.7772,42.9317
,48.4681,33.2446,42.5942
,48.0323,33.1191,42.7464
,48.4111,33.7784,42.9422
,48.0424,33.5211,42.7254
,48.666,33.9534,42.8973
,48.07,32.9808,42.922
,48.5869,33.6629,43.0567
,48.4392,33.216,42.6171
,48.3731,33.3335,42.3595
,47.8852,33.3465,42.86
,48.7033,33.2545,42.6354
,48.7108,33.0821,42.6925
,48.2359,33.168,42.8622
,48.679,33.6097,43.1226
